Epoch,Loss,Categorical Accuracy,Diversity,Seed,Generated,Seed text,Generated text,Full text
1,6.2842,0.0457,0.3,10,20,then i can free my awareness from my body and, you you you is the are you the and is you is to the you you you is of the,then i can free my awareness from my body and you you you is the are you the and is you is to the you you you is of the
1,6.2842,0.0457,0.4,10,20,then i can free my awareness from my body and, is is you you it the all that you the to to is you you is is the it you,then i can free my awareness from my body and is is you you it the all that you the to to is you you is is the it you
1,6.2842,0.0457,0.5,10,20,then i can free my awareness from my body and, all you the and this you you you is you the you going that you that the it and what,then i can free my awareness from my body and all you the and this you you you is you the you going that you that the it and what
1,6.2842,0.0457,0.6,10,20,then i can free my awareness from my body and, that and that the and to that the of this that you it have and and the oh the a,then i can free my awareness from my body and that and that the and to that the of this that you it have and and the oh the a
1,6.2842,0.0457,0.7,10,20,then i can free my awareness from my body and, stream and that that you i would a you i yourself and beautiful way the that it you the there,then i can free my awareness from my body and stream and that that you i would a you i yourself and beautiful way the that it you the there
2,5.7535,0.0544,0.3,10,20,so any concept you can have of any relation to, you is the whole plane is the new own time you it the of see the maturity beheld pure and,so any concept you can have of any relation to you is the whole plane is the new own time you it the of see the maturity beheld pure and
2,5.7535,0.0544,0.4,10,20,so any concept you can have of any relation to, cannot only you the offend and have do you i he they you in i are being you the me,so any concept you can have of any relation to cannot only you the offend and have do you i he they you in i are being you the me
2,5.7535,0.0544,0.5,10,20,so any concept you can have of any relation to, into it you that you is i he you it is the desperate only how is the up in the,so any concept you can have of any relation to into it you that you is i he you it is the desperate only how is the up in the
2,5.7535,0.0544,0.6,10,20,so any concept you can have of any relation to, and is something is and the heart do had that it that is of the dear not of bible the,so any concept you can have of any relation to and is something is and the heart do had that it that is of the dear not of bible the
2,5.7535,0.0544,0.7,10,20,so any concept you can have of any relation to, valid there and you to and teach a garden you the us is you wheel who you to from and,so any concept you can have of any relation to valid there and you to and teach a garden you the us is you wheel who you to from and
3,5.6155,0.0643,0.3,10,20,have been sharing this journey with me these past few, the way is the guru it and you is and to the guru you the own way you the way,have been sharing this journey with me these past few the way is the guru it and you is and to the guru you the own way you the way
3,5.6155,0.0643,0.4,10,20,have been sharing this journey with me these past few, to a guru you to your guru the inner way it is be that and are place it the being,have been sharing this journey with me these past few to a guru you to your guru the inner way it is be that and are place it the being
3,5.6155,0.0643,0.5,10,20,have been sharing this journey with me these past few, is try of got is the own own o'clock is the next way you and is the place is of,have been sharing this journey with me these past few is try of got is the own own o'clock is the next way you and is the place is of
3,5.6155,0.0643,0.6,10,20,have been sharing this journey with me these past few, the accounts i in something and to i boy one that and is my refrigerator it to a cave a,have been sharing this journey with me these past few the accounts i in something and to i boy one that and is my refrigerator it to a cave a
3,5.6155,0.0643,0.7,10,20,have been sharing this journey with me these past few, do can you are and out to it get it is that the you beautiful lions is important i i,have been sharing this journey with me these past few do can you are and out to it get it is that the you beautiful lions is important i i
4,5.4924,0.0739,0.3,10,20,and i can always starve together if we are backstage, is is the mind to you you the ego the own way you of the way you you the guru,and i can always starve together if we are backstage is is the mind to you you the ego the own way you of the way you you the guru
4,5.4924,0.0739,0.4,10,20,and i can always starve together if we are backstage, is you is the way you and the way the guru the thing you a way and the thing is,and i can always starve together if we are backstage is you is the way you and the way the guru the thing you a way and the thing is
4,5.4924,0.0739,0.5,10,20,and i can always starve together if we are backstage, can is the thought the own spirit you and you are want that you of is her head of the,and i can always starve together if we are backstage can is the thought the own spirit you and you are want that you of is her head of the
